ROWID,Name of the ministry,Name of the Project,SourceMonth,SourceYear,Digital Transaction ,BHIM transaction,Debit Card,Country,YearCode,Year,MonthCode,Month
1,Ministry of Electronics and Information Technology,Digital Payments,Apr - 2020,2020,303.4,99.95,20.95,India,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
2,Ministry of Electronics and Information Technology,Digital Payments,Jun - 2017,2017,152.9,1.02,25.98,India,2017,"Calendar Year (Jan - Dec), 2017",201706,"June, 2017"
3,Ministry of Electronics and Information Technology,Digital Payments,Jul - 2017,2017,156.57,1.14,26.13,India,2017,"Calendar Year (Jan - Dec), 2017",201707,"July, 2017"
4,Ministry of Electronics and Information Technology,Digital Payments,May - 2021,2021,520.38,253.95,26.36,India,2021,"Calendar Year (Jan - Dec), 2021",202105,"May, 2021"
5,Ministry of Electronics and Information Technology,Digital Payments,Sep - 2017,2017,158.34,3.08,26.64,India,2017,"Calendar Year (Jan - Dec), 2017",201709,"September, 2017"
6,Ministry of Electronics and Information Technology,Digital Payments,Aug - 2017,2017,158.15,1.66,26.76,India,2017,"Calendar Year (Jan - Dec), 2017",201708,"August, 2017"
7,Ministry of Electronics and Information Technology,Digital Payments,May - 2017,2017,156.78,0.92,26.98,India,2017,"Calendar Year (Jan - Dec), 2017",201705,"May, 2017"
8,Ministry of Electronics and Information Technology,Digital Payments,Nov - 2017,2017,174.33,10.48,27.1,India,2017,"Calendar Year (Jan - Dec), 2017",201711,"November, 2017"
9,Ministry of Electronics and Information Technology,Digital Payments,May - 2020,2020,326.21,123.44,27.23,India,2020,"Calendar Year (Jan - Dec), 2020",202005,"May, 2020"
10,Ministry of Electronics and Information Technology,Digital Payments,Apr - 2017,2017,159.73,0.7,27.28,India,2017,"Calendar Year (Jan - Dec), 2017",201704,"April, 2017"
11,Ministry of Electronics and Information Technology,Digital Payments,Oct - 2017,2017,168.82,7.68,28,India,2017,"Calendar Year (Jan - Dec), 2017",201710,"October, 2017"
12,Ministry of Electronics and Information Technology,Digital Payments,Feb - 2018,2018,190.76,17.12,28.2,India,2018,"Calendar Year (Jan - Dec), 2018",201802,"February, 2018"
13,Ministry of Electronics and Information Technology,Digital Payments,Dec - 2017,2017,193.66,14.55,29.24,India,2017,"Calendar Year (Jan - Dec), 2017",201712,"December, 2017"
